trial,Rhodamine,replicate,condition,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
5,B,1,virgin,17098.423,38.233,653727.229,-1119567.319,NA,3,26539.642,103.711,2752454.576
5,B,2,virgin,19875.09,249.943,4967630.98,4902202.184,6838119.535,1,12300.607,3.292,40494.669
5,B,2,virgin,38525.91,244.904,9435155.831,8848791.481,NA,2,18000.082,15.22,273960.801
5,B,2,virgin,44319.135,175.443,7775481.027,6763364.941,NA,3,9099.306,22.837,207800.575
5,B,2,virgin,38514.881,103.854,3999925.305,3673473.174,3339799.376,1,15253.746,8.476,129287.351
5,B,2,virgin,24297.904,197.833,4806920.692,4573029.068,NA,2,16290.515,9.626,156816.887
5,B,2,virgin,9573.573,205.162,1964137.582,1772895.888,NA,3,11156.301,19.976,222861.305
5,B,7,vial,25607.653,118.44,3032980.664,2894007.931,1772603.84,1,11211.448,5.427,60846.783
5,B,7,vial,30319.99,51.805,1570722.195,1371034.741,NA,2,6937.531,6.586,45692.303
5,B,7,vial,15173.782,71.235,1080901.041,1052768.849,NA,3,17718.83,1.854,32851.252
